id,name,symbol
1,Bitcoin,BTC
1027,Ethereum,ETH
825,Tether,USDT
1839,BNB,BNB
3408,USD Coin,USDC
52,XRP,XRP
2010,Cardano,ADA
3890,Polygon,MATIC
74,Dogecoin,DOGE
5426,Solana,SOL
4687,Binance USD,BUSD
6636,Polkadot,DOT
2,Litecoin,LTC
5994,Shiba Inu,SHIB
1958,TRON,TRX
5805,Avalanche,AVAX
4943,Dai,DAI
3717,Wrapped Bitcoin,WBTC
1975,Chainlink,LINK
3957,UNUS SED LEO,LEO
3794,Cosmos,ATOM
1321,Ethereum Classic,ETC
328,Monero,XMR
7083,Uniswap,UNI
512,Stellar,XLM
3897,OKB,OKB
11419,Toncoin,TON
1831,Bitcoin Cash,BCH
2280,Filecoin,FIL
8000,Lido DAO,LDO
21794,Aptos,APT
2563,TrueUSD,TUSD
4642,Hedera,HBAR
3635,Cronos,CRO
6535,NEAR Protocol,NEAR
3077,VeChain,VET
11841,Arbitrum,ARB
18876,ApeCoin,APE
8916,Internet Computer,ICP
4030,Algorand,ALGO
3155,Quant,QNT
4847,Stacks,STX
6719,The Graph,GRT
3513,Fantom,FTM
1765,EOS,EOS
11221,BitDAO,BIT
1966,Decentraland,MANA
6892,MultiversX,EGLD
2011,Tezos,XTZ
2416,Theta Network,THETA
7278,Aave,AAVE
7334,Conflux,CFX
4558,Flow,FLOW
10603,Immutable,IMX
6783,Axie Infinity,AXS
6210,The Sandbox,SAND
1376,Neo,NEO
2943,Rocket Pool,RPL
3330,Pax Dollar,USDP
2087,KuCoin Token,KCS
4066,Chiliz,CHZ
4172,Terra Classic,LUNC
19891,USDD,USDD
6538,Curve DAO Token,CRV
11840,Optimism,OP
4256,Klaytn,KLAY
3602,Bitcoin SV,BSV
8646,Mina,MINA
11857,GMX,GMX
1518,Maker,MKR
7186,PancakeSwap,CAKE
131,Dash,DASH
2586,Synthetix,SNX
6953,Frax Share,FXS
1437,Zcash,ZEC
3306,Gemini Dollar,GUSD
10791,eCash,XEC
2502,Huobi Token,HT
16086,BitTorrent(New),BTT
1720,IOTA,MIOTA
2634,XDC Network,XDC
4269,GateToken,GT
4705,PAX Gold,PAXG
2424,SingularityNET,AGIX
8536,Mask Network,MASK
7950,Flare,FLR
1934,Loopring,LRC
5964,Trust Wallet Token,TWT
4157,THORChain,RUNE
5690,Render Token,RNDR
2469,Zilliqa,ZIL
8104,1inch Network,1INCH
8642,Fei USD,FEI
5899,Casper,CSPR
4846,Kava,KAVA
2694,Nexo,NEXO
11156,dYdX,DYDX
9903,Convex Finance,CVX
12220,Osmosis,OSMO
2130,Enjin Coin,ENJ
